builder_name:             None
type_name:                49 solaris 48 kajuitzeiljacht
category:                 zeiljacht
build_material:           polyester
build_year:               2009.0
asking_price_euros:       330000.0
length_over_all_meters:   14.86
width_meters:             4.37
draft_meters:             2.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93182/XXX
