builder_name:             None
type_name:                allwater 7.60
category:                 zeiljacht
build_material:           staal
build_year:               1960.0
asking_price_euros:       2950.0
length_over_all_meters:   7.6
width_meters:             2.8
draft_meters:             1.2
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              albin
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90222/XXX
