builder_name:             None
type_name:                auroa glass
category:                 zeiljacht
build_material:           polyester
build_year:               1979.0
asking_price_euros:       26000.0
length_over_all_meters:   11.5
width_meters:             3.4
draft_meters:             1.6
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88296/XXX
