builder_name:             baltic yachts
type_name:                baltic 33
category:                 zeiljacht
build_material:           polyester
build_year:               1978.0
asking_price_euros:       24000.0
length_over_all_meters:   10.02
width_meters:             3.21
draft_meters:             1.69
displaces_kgs:            4627.0
ballast_kgs:              2080.0
steering:                 wheel
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90866/XXX
