builder_name:             baltic yachts
type_name:                baltic yachts baltic 42
category:                 zeiljacht
build_material:           overig
build_year:               1976.0
asking_price_euros:       109000.0
length_over_all_meters:   12.93
width_meters:             3.84
draft_meters:             2.18
displaces_kgs:            8943.0
ballast_kgs:              None
steering:                 None
engine_name:              perkins
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92505/XXX
