builder_name:             sydney yachts/bashford int.
type_name:                bashford howison 36
category:                 zeiljacht
build_material:           epoxy composiet
build_year:               1997.0
asking_price_euros:       80000.0
length_over_all_meters:   11.0
width_meters:             3.43
draft_meters:             2.2
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94091/XXX
