builder_name:             bayliner (buccaneer/us yachts)
type_name:                bayliner 245 cruiser
category:                 zeiljacht
build_material:           polyester
build_year:               2008.0
asking_price_euros:       37900.0
length_over_all_meters:   7.32
width_meters:             2.59
draft_meters:             0.65
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/95125/XXX
