builder_name:             None
type_name:                bekebrede 11.50
category:                 zeiljacht
build_material:           staal
build_year:               1997.0
asking_price_euros:       99500.0
length_over_all_meters:   11.5
width_meters:             3.6
draft_meters:             1.9
displaces_kgs:            None
ballast_kgs:              None
steering:                 tiller
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93665/XXX
