builder_name:             beneteau usa
type_name:                beneteau figaro one
category:                 zeiljacht
build_material:           polyester
build_year:               1993.0
asking_price_euros:       29500.0
length_over_all_meters:   9.14
width_meters:             3.22
draft_meters:             1.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90451/XXX
