builder_name:             beneteau usa
type_name:                beneteau first 210 spirit
category:                 zeiljacht
build_material:           polyester
build_year:               1996.0
asking_price_euros:       13800.0
length_over_all_meters:   6.4
width_meters:             2.48
draft_meters:             0.7
displaces_kgs:            200.0
ballast_kgs:              None
steering:                 None
engine_name:              yamaha
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90733/XXX
