builder_name:             beneteau usa
type_name:                beneteau first 31.7
category:                 zeiljacht
build_material:           polyester
build_year:               2001.0
asking_price_euros:       52500.0
length_over_all_meters:   9.85
width_meters:             3.23
draft_meters:             1.95
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94043/XXX
