builder_name:             beneteau usa
type_name:                beneteau first 345
category:                 zeiljacht
build_material:           polyester
build_year:               1984.0
asking_price_euros:       23500.0
length_over_all_meters:   10.45
width_meters:             3.5
draft_meters:             1.9
displaces_kgs:            500.0
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   1.85
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89755/XXX
