builder_name:             beneteau usa
type_name:                beneteau first 42s7
category:                 zeiljacht
build_material:           polyester
build_year:               1995.0
asking_price_euros:       89000.0
length_over_all_meters:   12.95
width_meters:             4.1
draft_meters:             1.8
displaces_kgs:            8000.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94910/XXX
