builder_name:             beneteau usa
type_name:                beneteau oceanis 361 clipper
category:                 zeiljacht
build_material:           polyester
build_year:               1999.0
asking_price_euros:       59500.0
length_over_all_meters:   10.8
width_meters:             3.83
draft_meters:             1.53
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91448/XXX
