builder_name:             beneteau usa
type_name:                beneteau sense 43
category:                 zeiljacht
build_material:           polyester
build_year:               2012.0
asking_price_euros:       240000.0
length_over_all_meters:   13.2
width_meters:             4.28
draft_meters:             1.6
displaces_kgs:            70000.0
ballast_kgs:              None
steering:                 wheel
engine_name:              yanmar
engine_build_year:        2012.0
standing_height_meters:   2.0
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94984/XXX
