builder_name:             None
type_name:                berth regattacenter medemblik
category:                 zeiljacht
build_material:           overig
build_year:               2015.0
asking_price_euros:       59500.0
length_over_all_meters:   16.0
width_meters:             5.75
draft_meters:             2.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88912/XXX
