builder_name:             watkins yachts
type_name:                atkin erin cutter
category:                 zeiljacht
build_material:           overig
build_year:               1992.0
asking_price_euros:       25000.0
length_over_all_meters:   13.8
width_meters:             3.15
draft_meters:             1.6
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86110/XXX
