builder_name:             None
type_name:                atlantic 42zk
category:                 zeiljacht
build_material:           aluminium
build_year:               2000.0
asking_price_euros:       299000.0
length_over_all_meters:   12.6
width_meters:             4.3
draft_meters:             1.25
displaces_kgs:            None
ballast_kgs:              4250.0
steering:                 wheel
engine_name:              yanmar
engine_build_year:        2005.0
standing_height_meters:   1.9
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86752/XXX
