builder_name:             None
type_name:                aura marine aura 54
category:                 zeiljacht
build_material:           polyester
build_year:               2012.0
asking_price_euros:       149000.0
length_over_all_meters:   16.36
width_meters:             4.9
draft_meters:             2.03
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87390/XXX
