builder_name:             None
type_name:                bakewell-white pocket maxi
category:                 zeiljacht
build_material:           composiet
build_year:               2003.0
asking_price_euros:       600000.0
length_over_all_meters:   25.05
width_meters:             5.35
draft_meters:             4.95
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86706/XXX
