builder_name:             beneteau usa
type_name:                beneteau first 44.7
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       150000.0
length_over_all_meters:   13.35
width_meters:             3.97
draft_meters:             2.7
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87818/XXX
