builder_name:             beneteau usa
type_name:                beneteau first 45
category:                 zeiljacht
build_material:           polyester
build_year:               2009.0
asking_price_euros:       170000.0
length_over_all_meters:   13.68
width_meters:             4.2
draft_meters:             2.45
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/85887/XXX
