builder_name:             beneteau usa
type_name:                beneteau oceanis 41 new bj 2014, model 2015
category:                 zeiljacht
build_material:           polyester
build_year:               2014.0
asking_price_euros:       208051.0
length_over_all_meters:   12.38
width_meters:             4.2
draft_meters:             2.05
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        2014.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87029/XXX
