builder_name:             beneteau usa
type_name:                beneteau oceanis 46
category:                 zeiljacht
build_material:           polyester
build_year:               2008.0
asking_price_euros:       165500.0
length_over_all_meters:   14.09
width_meters:             4.3
draft_meters:             2.0
displaces_kgs:            None
ballast_kgs:              None
steering:                 wheel
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86920/XXX
