builder_name:             blue bouy yacht co.
type_name:                blue rose motorkruiser
category:                 None
build_material:           None
build_year:               None
asking_price_euros:       59000.0
length_over_all_meters:   None
width_meters:             None
draft_meters:             None
displaces_kgs:            16000.0
ballast_kgs:              None
steering:                 None
engine_name:              ford
engine_build_year:        1977.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/85832/XXX
