builder_name:             None
type_name:                canados 44
category:                 zeiljacht
build_material:           polyester
build_year:               1984.0
asking_price_euros:       55000.0
length_over_all_meters:   13.4
width_meters:             4.2
draft_meters:             2.4
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87527/XXX
