builder_name:             cheoy lee shipyard
type_name:                cheoy lee 38
category:                 zeiljacht
build_material:           polyester
build_year:               1979.0
asking_price_euros:       60000.0
length_over_all_meters:   11.66
width_meters:             3.75
draft_meters:             1.73
displaces_kgs:            10000.0
ballast_kgs:              None
steering:                 wheel
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86483/XXX
