builder_name:             cobra yachts (uk)
type_name:                cobra 750
category:                 zeiljacht
build_material:           polyester
build_year:               1979.0
asking_price_euros:       6000.0
length_over_all_meters:   8.06
width_meters:             2.9
draft_meters:             1.07
displaces_kgs:            2500.0
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        1979.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86678/XXX
