builder_name:             compromis
type_name:                compromis 34
category:                 zeiljacht
build_material:           polyester
build_year:               1999.0
asking_price_euros:       89700.0
length_over_all_meters:   10.3
width_meters:             3.47
draft_meters:             1.5
displaces_kgs:            None
ballast_kgs:              None
steering:                 wheel
engine_name:              yanmar
engine_build_year:        1999.0
standing_height_meters:   1.9
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86008/XXX
