builder_name:             contest yachts - conyplex
type_name:                contest 40s
category:                 zeiljacht
build_material:           polyester
build_year:               1994.0
asking_price_euros:       149000.0
length_over_all_meters:   12.0
width_meters:             3.85
draft_meters:             1.75
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        1993.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86828/XXX
