builder_name:             contest yachts - conyplex
type_name:                contest 48cs
category:                 zeiljacht
build_material:           polyester sandwich
build_year:               2002.0
asking_price_euros:       350000.0
length_over_all_meters:   14.75
width_meters:             4.25
draft_meters:             1.8
displaces_kgs:            None
ballast_kgs:              6000.0
steering:                 wheel
engine_name:              perkins
engine_build_year:        2002.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86731/XXX
