builder_name:             cornish crabbers
type_name:                cornish shrimper 19
category:                 zeiljacht
build_material:           polyester
build_year:               2002.0
asking_price_euros:       25000.0
length_over_all_meters:   5.8
width_meters:             2.18
draft_meters:             0.46
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87639/XXX
