builder_name:             cornish crabbers
type_name:                cornish yawl 24
category:                 zeiljacht
build_material:           polyester
build_year:               1993.0
asking_price_euros:       35000.0
length_over_all_meters:   7.46
width_meters:             2.59
draft_meters:             0.91
displaces_kgs:            None
ballast_kgs:              None
steering:                 tiller
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86819/XXX
