builder_name:             dufour yachts (fra)
type_name:                dufour 44 performance
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       99000.0
length_over_all_meters:   13.67
width_meters:             4.25
draft_meters:             2.31
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87136/XXX
