builder_name:             None
type_name:                egeyat ege 35
category:                 zeiljacht
build_material:           polyester
build_year:               2010.0
asking_price_euros:       67000.0
length_over_all_meters:   10.35
width_meters:             3.5
draft_meters:             1.7
displaces_kgs:            None
ballast_kgs:              1900.0
steering:                 wheel
engine_name:              yanmar
engine_build_year:        2010.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88040/XXX
