builder_name:             etap yachting
type_name:                etap - 26
category:                 zeiljacht
build_material:           polyester
build_year:               1982.0
asking_price_euros:       12950.0
length_over_all_meters:   7.86
width_meters:             2.25
draft_meters:             0.7
displaces_kgs:            None
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87157/XXX
