builder_name:             etap yachting
type_name:                etap 21i
category:                 zeiljacht
build_material:           polyester
build_year:               2007.0
asking_price_euros:       24500.0
length_over_all_meters:   6.56
width_meters:             2.49
draft_meters:             0.7
displaces_kgs:            1230.0
ballast_kgs:              None
steering:                 tiller
engine_name:              yamaha
engine_build_year:        2009.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87131/XXX
