builder_name:             etap yachting
type_name:                etap 28
category:                 zeiljacht
build_material:           polyester
build_year:               1981.0
asking_price_euros:       11000.0
length_over_all_meters:   8.42
width_meters:             2.99
draft_meters:             1.25
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87590/XXX
