builder_name:             None
type_name:                franchini 63 l
category:                 zeiljacht
build_material:           polyester
build_year:               2005.0
asking_price_euros:       912500.0
length_over_all_meters:   19.2
width_meters:             5.27
draft_meters:             2.9
displaces_kgs:            None
ballast_kgs:              None
steering:                 wheel
engine_name:              yanmar
engine_build_year:        2005.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86476/XXX
