builder_name:             friendship yachts (nl)
type_name:                friendship 22
category:                 zeiljacht
build_material:           polyester
build_year:               1983.0
asking_price_euros:       6400.0
length_over_all_meters:   7.0
width_meters:             2.6
draft_meters:             1.35
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87398/XXX
