builder_name:             friendship yachts (nl)
type_name:                friendship 28mk3
category:                 zeiljacht
build_material:           polyester
build_year:               1995.0
asking_price_euros:       35000.0
length_over_all_meters:   8.9
width_meters:             2.8
draft_meters:             1.2
displaces_kgs:            500.0
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        1995.0
standing_height_meters:   1.85
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86395/XXX
