builder_name:             hunter marine (usa)
type_name:                hunter 326
category:                 zeiljacht
build_material:           polyester
build_year:               2004.0
asking_price_euros:       52900.0
length_over_all_meters:   9.81
width_meters:             3.37
draft_meters:             1.32
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        2004.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86024/XXX
