builder_name:             lord nelson yachts
type_name:                lord nelson 41
category:                 zeiljacht
build_material:           polyester
build_year:               1983.0
asking_price_euros:       89000.0
length_over_all_meters:   12.5
width_meters:             4.0
draft_meters:             1.8
displaces_kgs:            None
ballast_kgs:              5000.0
steering:                 None
engine_name:              bmw
engine_build_year:        1983.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87227/XXX
