builder_name:             moody yachts (a. h. moody & sons)
type_name:                moody ds45
category:                 zeiljacht
build_material:           polyester
build_year:               2008.0
asking_price_euros:       360000.0
length_over_all_meters:   13.72
width_meters:             4.57
draft_meters:             1.99
displaces_kgs:            None
ballast_kgs:              4300.0
steering:                 wheel
engine_name:              yanmar
engine_build_year:        2008.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86649/XXX
