builder_name:             None
type_name:                noordkaper 43
category:                 zeiljacht
build_material:           staal
build_year:               2007.0
asking_price_euros:       455000.0
length_over_all_meters:   13.0
width_meters:             4.35
draft_meters:             1.4
displaces_kgs:            None
ballast_kgs:              6000.0
steering:                 wheel
engine_name:              yanmar
engine_build_year:        2007.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/85955/XXX
