builder_name:             dekker & sons (jachtwerf f. dekker en zonen)
type_name:                one off one off
category:                 zeiljacht
build_material:           staal
build_year:               1964.0
asking_price_euros:       79999.0
length_over_all_meters:   14.92
width_meters:             4.25
draft_meters:             1.65
displaces_kgs:            None
ballast_kgs:              4000.0
steering:                 wheel
engine_name:              daf
engine_build_year:        None
standing_height_meters:   1.95
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86757/XXX
