builder_name:             parker yachts (uk)
type_name:                parker 21 lift keel
category:                 zeiljacht
build_material:           polyester
build_year:               1998.0
asking_price_euros:       12000.0
length_over_all_meters:   6.4
width_meters:             2.49
draft_meters:             0.23
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87294/XXX
