builder_name:             puma yachts (nao-glass)(esp)
type_name:                puma 23
category:                 zeiljacht
build_material:           polyester
build_year:               1979.0
asking_price_euros:       4500.0
length_over_all_meters:   7.0
width_meters:             2.25
draft_meters:             1.3
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87381/XXX
