builder_name:             standfast yachts
type_name:                standfast 40 p
category:                 zeiljacht
build_material:           polyester
build_year:               1982.0
asking_price_euros:       48500.0
length_over_all_meters:   12.2
width_meters:             4.0
draft_meters:             2.2
displaces_kgs:            None
ballast_kgs:              4200.0
steering:                 wheel
engine_name:              peugeot
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87084/XXX
