builder_name:             None
type_name:                stentor luxe motor 21.50
category:                 None
build_material:           None
build_year:               None
asking_price_euros:       635000.0
length_over_all_meters:   None
width_meters:             None
draft_meters:             None
displaces_kgs:            0.0
ballast_kgs:              None
steering:                 None
engine_name:              john
engine_build_year:        2007.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86470/XXX
