builder_name:             None
type_name:                sturgeon  22
category:                 zeiljacht
build_material:           polyester
build_year:               None
asking_price_euros:       3750.0
length_over_all_meters:   6.7
width_meters:             2.3
draft_meters:             0.7
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87508/XXX
