builder_name:             dickerson boatbuilders (usa)
type_name:                builder 8 kr klassik ketsch
category:                 zeiljacht
build_material:           overig
build_year:               1963.0
asking_price_euros:       79000.0
length_over_all_meters:   13.5
width_meters:             3.1
draft_meters:             1.8
displaces_kgs:            10000.0
ballast_kgs:              None
steering:                 None
engine_name:              om
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92515/XXX
