builder_name:             dickerson boatbuilders (usa)
type_name:                builder omega 46
category:                 zeiljacht
build_material:           polyester
build_year:               2002.0
asking_price_euros:       235000.0
length_over_all_meters:   14.2
width_meters:             3.6
draft_meters:             1.75
displaces_kgs:            11400.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92544/XXX
