builder_name:             seafarer yachts
type_name:                c & n camper & nicholson 42
category:                 zeiljacht
build_material:           polyester
build_year:               1980.0
asking_price_euros:       130000.0
length_over_all_meters:   12.75
width_meters:             3.72
draft_meters:             1.68
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              perkins
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92521/XXX
