builder_name:             None
type_name:                c-yacht 10.40
category:                 zeiljacht
build_material:           polyester
build_year:               2001.0
asking_price_euros:       98000.0
length_over_all_meters:   10.4
width_meters:             3.47
draft_meters:             1.75
displaces_kgs:            5500.0
ballast_kgs:              2200.0
steering:                 wheel
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90218/XXX
