builder_name:             barberis (cantieri)
type_name:                cantieri del sole soleada 41
category:                 zeiljacht
build_material:           polyester
build_year:               1984.0
asking_price_euros:       69000.0
length_over_all_meters:   12.6
width_meters:             3.8
draft_meters:             2.25
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              perkins
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94921/XXX
