builder_name:             None
type_name:                carat carat 34
category:                 zeiljacht
build_material:           polyester
build_year:               1981.0
asking_price_euros:       29000.0
length_over_all_meters:   10.25
width_meters:             3.27
draft_meters:             1.8
displaces_kgs:            4300.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92526/XXX
