builder_name:             None
type_name:                carrera 55' kasko
category:                 zeiljacht
build_material:           overig
build_year:               2002.0
asking_price_euros:       25000.0
length_over_all_meters:   16.77
width_meters:             4.5
draft_meters:             2.55
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92961/XXX
