builder_name:             endeavour catamaran corp.
type_name:                catamaran group charter
category:                 zeiljacht
build_material:           polyester
build_year:               2013.0
asking_price_euros:       6000.0
length_over_all_meters:   22.0
width_meters:             6.0
draft_meters:             1.5
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88353/XXX
