builder_name:             cheoy lee shipyard
type_name:                cheoy lee clipper ketch 48
category:                 zeiljacht
build_material:           overig
build_year:               1979.0
asking_price_euros:       170000.0
length_over_all_meters:   16.75
width_meters:             3.96
draft_meters:             1.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              perkins-sabre
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94865/XXX
