builder_name:             colvic craft
type_name:                colvic 30
category:                 zeiljacht
build_material:           polyester
build_year:               1980.0
asking_price_euros:       18500.0
length_over_all_meters:   9.0
width_meters:             3.2
draft_meters:             1.65
displaces_kgs:            5000.0
ballast_kgs:              None
steering:                 wheel
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   1.9
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90875/XXX
