builder_name:             colvic craft
type_name:                colvic liberator
category:                 zeiljacht
build_material:           polyester
build_year:               1979.0
asking_price_euros:       34500.0
length_over_all_meters:   10.67
width_meters:             3.43
draft_meters:             1.6
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89623/XXX
