builder_name:             comar yachts
type_name:                comar comet 460
category:                 zeiljacht
build_material:           polyester
build_year:               1988.0
asking_price_euros:       95000.0
length_over_all_meters:   14.2
width_meters:             3.78
draft_meters:             2.2
displaces_kgs:            11500.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92617/XXX
