builder_name:             compromis
type_name:                compromis 999
category:                 zeiljacht
build_material:           polyester
build_year:               1993.0
asking_price_euros:       49750.0
length_over_all_meters:   9.6
width_meters:             3.4
draft_meters:             1.25
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91331/XXX
